id;cd_acao_rdz;nm_empresa;setor_economico;subsetor;segmento;segmento_b3;nm_segmento_b3;cd_acao;tx_cnpj;vl_cnpj;created_at;updated_at
108;PRNR;PRINER;BENS INDUSTRIAIS;SERVIÇOS DIVERSOS;SERVIÇOS DIVERSOS;MA;"";PRNR3;18.593.815/0001-97;18593815000197;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
109;VLID;VALID;BENS INDUSTRIAIS;SERVIÇOS DIVERSOS;SERVIÇOS DIVERSOS;NM;"";VLID3;33.113.309/0001-47;33113309000147;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
110;BTTL;BATTISTELLA;BENS INDUSTRIAIS;COMÉRCIO;MATERIAL DE TRANSPORTE;"";"";BTTL3;42.331.462/0001-31;42331462000131;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
111;MMAQ;MINASMAQUINA;BENS INDUSTRIAIS;COMÉRCIO;MATERIAL DE TRANSPORTE;"";"";MMAQ3, MMAQ4;17.161.241/0001-15;17161241000115;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
112;WLMM;WLM IND COM;BENS INDUSTRIAIS;COMÉRCIO;MATERIAL DE TRANSPORTE;"";"";WLMM3, WLMM4;33.228.024/0001-51;33228024000151;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
113;APTI;ALIPERTI;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;"";"";APTI3, APTI4;61.156.931/0001-78;61156931000178;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
114;AGRO;BRASILAGRO;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;NM;"";AGRO3;07.628.528/0001-59;7628528000159;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
115;FRTA;POMIFRUTAS;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;NM;"";FRTA3;86.550.951/0001-50;86550951000150;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
116;SLCE;SLC AGRICOLA;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;NM;"";SLCE3;89.096.457/0001-55;89096457000155;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
117;TESA;TERRA SANTA;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;NM;"";TESA12, TESA3;05.799.312/0001-20;5799312000120;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
118;BSEV;BIOSEV;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;AÇUCAR E ALCOOL;NM;"";BSEV3;15.527.906/0001-36;15527906000136;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
119;RESA;RAIZEN ENERG;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;AÇUCAR E ALCOOL;"";"";"";"";"";2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
120;SMTO;SAO MARTINHO;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;AÇUCAR E ALCOOL;NM;"";SMTO3;51.466.860/0001-56;51466860000156;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
121;BRFS;BRF SA;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;CARNES E DERIVADOS;NM;"";BRFS3;01.838.723/0001-27;1838723000127;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
122;BAUH;EXCELSIOR;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;CARNES E DERIVADOS;"";"";BAUH3, BAUH4;95.426.862/0001-97;95426862000197;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
123;JBSS;JBS;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;CARNES E DERIVADOS;NM;"";JBSS3;02.916.265/0001-60;2916265000160;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
124;MRFG;MARFRIG;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;CARNES E DERIVADOS;NM;"";MRFG3;03.853.896/0001-40;3853896000140;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
125;BEEF;MINERVA;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;CARNES E DERIVADOS;NM;"";BEEF3, BEEF11;67.620.377/0001-14;67620377000114;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
126;MNPR;MINUPAR;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;CARNES E DERIVADOS;"";"";MNPR3;90.076.886/0001-40;90076886000140;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
127;CAML;CAMIL;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;ALIMENTOS DIVERSOS;NM;"";CAML3;64.904.295/0001-03;64904295000103;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
128;JMCD;J.MACEDO;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;ALIMENTOS DIVERSOS;"";"";"";"";"";2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
129;JOPA;JOSAPAR;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;ALIMENTOS DIVERSOS;"";"";JOPA3, JOPA4;87.456.562/0001-22;87456562000122;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
130;MDIA;M.DIASBRANCO;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;ALIMENTOS DIVERSOS;NM;"";MDIA3;07.206.816/0001-15;7206816000115;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
131;ODER;ODERICH;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;ALIMENTOS DIVERSOS;"";"";ODER3, ODER4;97.191.902/0001-94;97191902000194;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
132;ABEV;AMBEV S/A;CONSUMO NÃO CÍCLICO;BEBIDAS;CERVEJAS E REFRIGERANTES;"";"";ABEV3;07.526.557/0001-00;7526557000100;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
133;NTCO;GRUPO NATURA;CONSUMO NÃO CÍCLICO;PRODUTOS DE USO PESSOAL E DE LIMPEZA;PRODUTOS DE USO PESSOAL;NM;"";NTCO3;32.785.497/0001-97;32785497000197;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
134;BOBR;BOMBRIL;CONSUMO NÃO CÍCLICO;PRODUTOS DE USO PESSOAL E DE LIMPEZA;PRODUTOS DE LIMPEZA;"";"";BOBR3, BOBR4;50.564.053/0001-03;50564053000103;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
135;CRFB;CARREFOUR BR;CONSUMO NÃO CÍCLICO;COMÉRCIO E DISTRIBUIÇÃO;ALIMENTOS;NM;"";CRFB3;75.315.333/0001-09;75315333000109;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
136;PCAR;P.ACUCAR-CBD;CONSUMO NÃO CÍCLICO;COMÉRCIO E DISTRIBUIÇÃO;ALIMENTOS;N1;"";PCAR3;47.508.411/0001-56;47508411000156;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
137;CALI;CONST A LIND;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;"";"";CALI3, CALI4;61.022.042/0001-18;61022042000118;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
138;CRDE;CR2;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;"";CRDE3;07.820.907/0001-46;7820907000146;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
139;CYRE;CYRELA REALT;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;"";CYRE3;73.178.600/0001-18;73178600000118;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
140;DIRR;DIRECIONAL;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;"";DIRR3;16.614.075/0001-00;16614075000100;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
141;EVEN;EVEN;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;"";EVEN3;43.470.988/0001-65;43470988000165;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
142;EZTC;EZTEC;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;"";EZTC3;08.312.229/0001-73;8312229000173;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
143;GFSA;GAFISA;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;"";GFSA3;01.545.826/0001-07;1545826000107;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
144;HBOR;HELBOR;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;"";HBOR3;49.263.189/0001-02;49263189000102;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
145;INNT;INTER SA;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;MA;"";INNT3;09.611.768/0001-76;9611768000176;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
146;JHSF;JHSF PART;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;"";JHSF3;08.294.224/0001-65;8294224000165;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
147;JFEN;JOAO FORTES;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;"";"";JFEN3;33.035.536/0001-00;33035536000100;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
148;MTRE;MITRE REALTY;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;"";MTRE3;07.882.930/0001-65;7882930000165;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
149;MDNE;MOURA DUBEUX;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;"";MDNE3;12.049.631/0001-84;12049631000184;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
150;MRVE;MRV;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;"";MRVE3;08.343.492/0001-20;8343492000120;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
151;PDGR;PDG REALT;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;"";PDGR3;02.950.811/0001-89;2950811000189;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
152;RDNI;RNI;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;"";RDNI3;67.010.660/0001-24;67010660000124;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
153;RSID;ROSSI RESID;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;"";RSID3;61.065.751/0001-80;61065751000180;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
154;TCSA;TECNISA;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;"";TCSA3;08.065.557/0001-12;8065557000112;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
155;TEND;TENDA;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;"";TEND3;71.476.527/0001-35;71476527000135;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
156;TRIS;TRISUL;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;"";TRIS3;08.811.643/0001-27;8811643000127;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
157;VIVR;VIVER;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;"";VIVR3;67.571.414/0001-41;67571414000141;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
158;CEDO;CEDRO;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;N1;"";CEDO4, CEDO3;17.245.234/0001-00;17245234000100;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
159;CTNM;COTEMINAS;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;"";"";CTNM4, CTNM3;22.677.520/0001-76;22677520000176;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
160;DOHL;DOHLER;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;"";"";DOHL3, DOHL4;84.683.408/0001-03;84683408000103;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
161;ECPR;ENCORPAR;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;"";"";ECPR3, ECPR4;01.971.614/0001-83;1971614000183;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
162;CATA;IND CATAGUAS;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;"";"";CATA3, CATA4;19.526.748/0001-50;19526748000150;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
163;CTKA;KARSTEN;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;"";"";CTKA4, CTKA3;82.640.558/0001-04;82640558000104;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
164;PTNT;PETTENATI;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;"";"";PTNT3, PTNT4;88.613.658/0001-10;88613658000110;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
165;CTSA;SANTANENSE;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;"";"";CTSA3, CTSA4, CTSA8;21.255.567/0001-89;21255567000189;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
166;SGPS;SPRINGS;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;NM;"";SGPS3;07.718.269/0001-57;7718269000157;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
167;TEKA;TEKA;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;"";"";TEKA3, TEKA4;82.636.986/0001-55;82636986000155;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
168;TXRX;TEX RENAUX;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;"";"";"";"";"";2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
169;HGTX;CIA HERING;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;VESTUÁRIO;NM;"";HGTX3;78.876.950/0001-71;78876950000171;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
170;ALPA;ALPARGATAS;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;CALÇADOS;N1;"";ALPA3, ALPA4;61.079.117/0001-05;61079117000105;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
171;CAMB;CAMBUCI;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;CALÇADOS;"";"";CAMB3;61.088.894/0001-08;61088894000108;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
172;GRND;GRENDENE;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;CALÇADOS;NM;"";GRND3;89.850.341/0001-60;89850341000160;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
173;VULC;VULCABRAS;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;CALÇADOS;NM;"";VULC3;50.926.955/0001-42;50926955000142;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
174;MNDL;MUNDIAL;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;ACESSÓRIOS;"";"";MNDL3;88.610.191/0001-54;88610191000154;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
175;TECN;TECHNOS;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;ACESSÓRIOS;NM;"";TECN3;09.295.063/0001-97;9295063000197;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
176;VIVA;VIVARA S.A.;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;ACESSÓRIOS;NM;"";VIVA3;33.839.910/0001-11;33839910000111;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
177;WHRL;WHIRLPOOL;CONSUMO CÍCLICO;UTILIDADES DOMÉSTICAS;ELETRODOMÉSTICOS;"";"";WHRL3;59.105.999/0001-86;59105999000186;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
178;UCAS;UNICASA;CONSUMO CÍCLICO;UTILIDADES DOMÉSTICAS;MÓVEIS;NM;"";UCAS3;90.441.460/0001-48;90441460000148;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
179;HETA;HERCULES;CONSUMO CÍCLICO;UTILIDADES DOMÉSTICAS;UTENSÍLIOS DOMÉSTICOS;"";"";HETA3, HETA4;92.749.225/0001-63;92749225000163;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
180;MYPK;IOCHP-MAXION;CONSUMO CÍCLICO;AUTOMÓVEIS E MOTOCICLETAS;AUTOMÓVEIS E MOTOCICLETAS;NM;"";MYPK3;61.156.113/0001-75;61156113000175;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
181;LEVE;METAL LEVE;CONSUMO CÍCLICO;AUTOMÓVEIS E MOTOCICLETAS;AUTOMÓVEIS E MOTOCICLETAS;NM;"";LEVE3;60.476.884/0001-87;60476884000187;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
182;PLAS;PLASCAR PART;CONSUMO CÍCLICO;AUTOMÓVEIS E MOTOCICLETAS;AUTOMÓVEIS E MOTOCICLETAS;"";"";PLAS3;51.928.174/0001-50;51928174000150;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
183;HOOT;HOTEIS OTHON;CONSUMO CÍCLICO;HOTEIS E RESTAURANTES;HOTELARIA;"";"";HOOT4;33.200.049/0001-47;33200049000147;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
184;BKBR;BK BRASIL;CONSUMO CÍCLICO;HOTEIS E RESTAURANTES;RESTAURANTE E SIMILARES;NM;"";BKBR3;13.574.594/0001-96;13574594000196;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
185;MEAL;IMC S/A;CONSUMO CÍCLICO;HOTEIS E RESTAURANTES;RESTAURANTE E SIMILARES;NM;"";MEAL3;17.314.329/0001-20;17314329000120;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
186;BMKS;BIC MONARK;CONSUMO CÍCLICO;VIAGENS E LAZER;BICICLETAS;"";"";BMKS3;56.992.423/0001-90;56992423000190;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
187;ESTR;ESTRELA;CONSUMO CÍCLICO;VIAGENS E LAZER;BRINQUEDOS E JOGOS;"";"";ESTR4, ESTR3;61.082.004/0001-50;61082004000150;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
188;AHEB;SPTURIS;CONSUMO CÍCLICO;VIAGENS E LAZER;PRODUÇÃO DE EVENTOS E SHOWS;"";"";AHEB3, AHEB5, AHEB6;62.002.886/0001-60;62002886000160;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
189;SHOW;TIME FOR FUN;CONSUMO CÍCLICO;VIAGENS E LAZER;PRODUÇÃO DE EVENTOS E SHOWS;NM;"";SHOW3;02.860.694/0001-62;2860694000162;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
190;CVCB;CVC BRASIL;CONSUMO CÍCLICO;VIAGENS E LAZER;VIAGENS E TURISMO;NM;"";CVCB3;10.760.260/0001-19;10760260000119;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
191;SMFT;SMART FIT;CONSUMO CÍCLICO;VIAGENS E LAZER;ATIVIDADES ESPORTIVAS;M2;"";SMFT3;07.594.978/0001-78;7594978000178;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
192;ANIM;ANIMA;CONSUMO CÍCLICO;DIVERSOS;SERVIÇOS EDUCACIONAIS;NM;"";ANIM3;09.288.252/0001-32;9288252000132;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
193;BAHI;BAHEMA;CONSUMO CÍCLICO;DIVERSOS;SERVIÇOS EDUCACIONAIS;MA;"";BAHI3;45.987.245/0001-92;45987245000192;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
194;COGN;COGNA ON;CONSUMO CÍCLICO;DIVERSOS;SERVIÇOS EDUCACIONAIS;NM;"";COGN3;02.800.026/0001-40;2800026000140;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
195;SEER;SER EDUCA;CONSUMO CÍCLICO;DIVERSOS;SERVIÇOS EDUCACIONAIS;NM;"";SEER3;04.986.320/0001-13;4986320000113;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
196;YDUQ;YDUQS PART;CONSUMO CÍCLICO;DIVERSOS;SERVIÇOS EDUCACIONAIS;NM;"";YDUQ3;08.807.432/0001-10;8807432000110;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
197;RENT;LOCALIZA;CONSUMO CÍCLICO;DIVERSOS;ALUGUEL DE CARROS;NM;"";RENT3;16.670.085/0001-55;16670085000155;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
198;LCAM;LOCAMERICA;CONSUMO CÍCLICO;DIVERSOS;ALUGUEL DE CARROS;NM;"";LCAM3;10.215.988/0001-60;10215988000160;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
199;MSRO;MAESTROLOC;CONSUMO CÍCLICO;DIVERSOS;ALUGUEL DE CARROS;M2;"";MSRO3;08.795.211/0001-70;8795211000170;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
200;MOVI;MOVIDA;CONSUMO CÍCLICO;DIVERSOS;ALUGUEL DE CARROS;NM;"";MOVI3;21.314.559/0001-66;21314559000166;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
201;UNID;UNIDAS;CONSUMO CÍCLICO;DIVERSOS;ALUGUEL DE CARROS;"";"";"";"";"";2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
202;SMLS;SMILES;CONSUMO CÍCLICO;DIVERSOS;PROGRAMAS DE FIDELIZAÇÃO;NM;"";SMLS3;05.730.375/0001-20;5730375000120;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
203;ARZZ;AREZZO CO;CONSUMO CÍCLICO;COMÉRCIO;TECIDOS, VESTUÁRIO E CALÇADOS;NM;"";ARZZ3;16.590.234/0001-76;16590234000176;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
204;CEAB;CEA MODAS;CONSUMO CÍCLICO;COMÉRCIO;TECIDOS, VESTUÁRIO E CALÇADOS;NM;"";CEAB3;45.242.914/0001-05;45242914000105;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
205;CGRA;GRAZZIOTIN;CONSUMO CÍCLICO;COMÉRCIO;TECIDOS, VESTUÁRIO E CALÇADOS;"";"";CGRA4, CGRA3;92.012.467/0001-70;92012467000170;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
206;GUAR;GUARARAPES;CONSUMO CÍCLICO;COMÉRCIO;TECIDOS, VESTUÁRIO E CALÇADOS;"";"";GUAR3;08.402.943/0001-52;8402943000152;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
207;LLIS;LE LIS BLANC;CONSUMO CÍCLICO;COMÉRCIO;TECIDOS, VESTUÁRIO E CALÇADOS;NM;"";LLIS3;49.669.856/0001-43;49669856000143;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
208;AMAR;LOJAS MARISA;CONSUMO CÍCLICO;COMÉRCIO;TECIDOS, VESTUÁRIO E CALÇADOS;NM;"";AMAR3;61.189.288/0001-89;61189288000189;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
209;LREN;LOJAS RENNER;CONSUMO CÍCLICO;COMÉRCIO;TECIDOS, VESTUÁRIO E CALÇADOS;NM;"";LREN3;92.754.738/0001-62;92754738000162;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
210;MGLU;MAGAZ LUIZA;CONSUMO CÍCLICO;COMÉRCIO;ELETRODOMÉSTICOS;NM;"";MGLU3;47.960.950/0001-21;47960950000121;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
211;VVAR;VIAVAREJO;CONSUMO CÍCLICO;COMÉRCIO;ELETRODOMÉSTICOS;NM;"";VVAR3;33.041.260/0652-90;33041260065290;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
212;BTOW;B2W DIGITAL;CONSUMO CÍCLICO;COMÉRCIO;PRODUTOS DIVERSOS;NM;"";BTOW3;00.776.574/0001-56;776574000156;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
213;CNTO;CENTAURO;CONSUMO CÍCLICO;COMÉRCIO;PRODUTOS DIVERSOS;NM;"";CNTO3;13.217.485/0001-11;13217485000111;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
214;LAME;LOJAS AMERIC;CONSUMO CÍCLICO;COMÉRCIO;PRODUTOS DIVERSOS;N1;"";LAME3, LAME4;33.014.556/0001-96;33014556000196;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
215;SLED;SARAIVA LIVR;CONSUMO CÍCLICO;COMÉRCIO;PRODUTOS DIVERSOS;N2;"";SLED4, SLED3;60.500.139/0001-26;60500139000126;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
216;BIOM;BIOMM;SAÚDE;MEDICAMENTOS E OUTROS PRODUTOS;MEDICAMENTOS E OUTROS PRODUTOS;MA;"";BIOM3;04.752.991/0001-10;4752991000110;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
217;GBIO;BIOTOSCANA;SAÚDE;MEDICAMENTOS E OUTROS PRODUTOS;MEDICAMENTOS E OUTROS PRODUTOS;DR3;"";GBIO33;19.688.956/0001-56;19688956000156;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
218;NRTQ;NORTCQUIMICA;SAÚDE;MEDICAMENTOS E OUTROS PRODUTOS;MEDICAMENTOS E OUTROS PRODUTOS;MA;"";NRTQ3;29.950.060/0001-57;29950060000157;2021-10-22T01:00:02.000000Z;2021-10-22T01:00:02.000000Z
